,player_id,player,games_played,seasons_played,avg_ts_percent,avg_per,avg_mpg,avg_x3p_ar,avg_orb_percent,avg_drb_percent,avg_ast_percent,avg_stl_percent,avg_blk_percent,avg_tov_percent,avg_usg_percent,avg_ows_48,avg_dws_48,avg_obpm,avg_dbpm,avg_bpm,avg_vorp,max_ts_percent,max_per,max_mpg,max_x3p_ar,max_orb_percent,max_drb_percent,max_ast_percent,max_stl_percent,max_blk_percent,max_tov_percent,max_usg_percent,max_ows_48,max_dws_48,max_obpm,max_dbpm,max_bpm,max_vorp,ALL_NBA_total,ALL_DEF_total,1T_ALL_NBA_total,2T_ALL_NBA_total,3T_ALL_NBA_total,1T_ALL_DEF_total,2T_ALL_DEF_total,DPOY_total,MIP_total,MVP_total,ROY_total,SMOY_total
1083,2176,Hakeem Olajuwon,1238,18,0.426,2.205,1.136,-0.814,1.019,1.741,-0.265,1.001,2.592,-0.306,1.513,0.483,2.349,0.94,2.002,1.653,1.846,1.089,3.492,1.835,-0.632,3.194,2.586,0.422,1.999,4.125,1.179,2.757,1.674,4.066,1.858,3.354,2.931,4.089,12.0,9.0,6.0,3.0,3.0,5.0,4.0,2.0,0.0,1.0,0.0,0.0
1084,3026,Stephon Marbury,799,11,0.164,1.127,1.453,0.318,-1.065,-1.322,2.437,-0.018,-0.83,0.028,1.334,1.044,-1.211,1.535,-1.267,0.829,1.115,1.067,2.017,1.695,0.872,-0.952,-1.171,3.015,0.585,-0.658,0.629,2.126,2.217,-0.546,2.46,-0.607,1.654,2.463,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1085,3459,Kirk Hinrich,879,13,-0.464,-0.566,0.564,0.837,-1.107,-0.941,1.143,0.378,-0.608,0.488,-0.371,-0.373,0.095,-0.36,0.513,-0.098,-0.032,0.521,0.642,1.279,1.542,-0.936,-0.655,2.054,1.508,-0.403,1.465,0.664,1.003,1.289,0.873,1.293,1.199,1.629,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1086,4371,Willie Cauley-Stein,402,6,0.444,0.351,-0.293,-1.612,0.893,0.908,-0.579,0.404,1.082,-0.467,-0.518,0.299,0.351,-0.321,0.544,-0.057,-0.166,1.449,0.667,0.516,-1.36,1.366,1.33,-0.066,1.047,1.878,0.014,0.483,0.669,0.722,0.167,1.311,0.461,0.492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1087,4372,Willie Reed,113,2,1.505,0.756,-1.585,-1.494,1.733,1.002,-1.112,-1.086,1.503,-0.677,-0.603,1.133,0.651,0.029,0.085,0.062,-0.44,2.426,0.965,-1.253,-1.456,2.252,1.066,-1.051,-0.979,1.628,-0.302,-0.498,1.306,0.952,0.299,0.18,0.339,-0.407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1088,4187,Nick Calathes,129,2,-1.265,-0.547,-1.131,-0.368,-0.734,-0.588,1.434,2.944,-0.72,2.001,-0.299,-1.44,1.207,-1.11,2.096,-0.1,-0.442,-0.729,-0.534,-0.971,-0.278,-0.655,-0.572,1.453,3.683,-0.715,2.355,-0.251,-1.199,1.756,-0.955,2.822,0.065,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1089,3795,Alexis Ajinça,183,3,0.548,0.331,-1.168,-1.278,1.463,1.519,-0.736,-0.635,1.356,0.76,0.0,0.076,0.084,-0.893,-0.088,-0.813,-0.684,1.311,1.217,-0.915,-1.196,1.809,1.73,-0.593,-0.465,1.565,1.256,0.393,0.942,0.437,-0.194,0.272,-0.053,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1090,3876,Eric Maynor,227,3,-1.283,-0.857,-1.153,0.213,-0.931,-1.207,1.782,-0.221,-0.844,1.291,-0.365,-0.802,-0.759,-0.488,-1.182,-0.939,-0.781,-1.146,-0.654,-1.095,0.434,-0.795,-0.869,1.967,0.169,-0.67,1.618,-0.159,-0.479,0.144,-0.18,-0.093,-0.572,-0.629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1091,2890,Yinka Dare,99,2,-2.038,-1.931,-1.647,-1.074,1.109,1.067,-1.441,-1.472,2.61,2.756,-0.946,-2.731,0.361,-2.792,-0.026,-2.467,-1.026,-1.167,-1.884,-1.443,-1.056,1.301,1.509,-1.386,-1.412,3.211,3.353,-0.473,-2.409,1.043,-2.505,0.22,-2.256,-0.841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1092,1858,Dave Greenwood,786,11,0.02,-0.358,0.508,-0.583,0.697,1.329,-0.586,-0.696,0.32,0.285,-0.775,-0.144,0.097,-0.3,0.055,-0.233,-0.208,1.085,0.547,1.318,-0.396,1.119,2.003,-0.151,-0.354,1.178,2.787,0.343,0.606,1.16,0.513,1.348,0.642,0.818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1093,1745,Cedric Maxwell,683,9,1.905,0.279,0.456,-0.553,0.857,-0.011,-0.463,-0.663,-0.308,0.522,-0.578,1.182,-0.006,0.733,-0.007,0.679,0.61,3.488,1.143,1.068,-0.4,1.418,0.655,-0.062,-0.419,0.142,1.208,-0.248,2.223,0.791,1.447,0.616,1.65,1.984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1094,1876,Larry Demic,206,3,-0.999,-1.805,-1.299,-0.407,1.281,0.5,-1.34,-1.299,-0.288,0.93,-0.927,-1.483,-0.763,-1.789,-1.272,-2.289,-1.456,0.044,-1.117,-0.301,-0.255,1.793,0.592,-1.171,-0.789,-0.205,1.371,-0.753,-0.167,-0.432,-1.109,-1.025,-1.636,-0.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1095,2347,Brad Lohaus,641,9,-0.218,-0.534,-1.0,1.876,-0.366,0.279,-0.453,-0.35,1.191,-0.375,-0.382,-0.496,-0.006,-0.276,0.47,-0.05,-0.365,0.565,0.183,-0.089,2.963,0.36,1.161,-0.107,0.444,1.835,0.884,0.306,0.371,0.812,0.737,1.231,0.852,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1096,3903,Stephen Curry,851,12,1.583,2.127,1.309,0.963,-0.747,-0.392,1.865,1.161,-0.768,0.313,1.876,2.115,0.279,2.831,0.237,2.581,2.927,3.024,3.838,1.749,1.34,-0.529,0.275,2.874,2.374,-0.56,0.916,2.69,4.292,1.176,4.774,1.456,4.674,5.589,8.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
1097,4288,Shabazz Napier,345,6,-0.646,-0.479,-0.932,0.863,-0.794,-0.867,0.771,1.403,-0.775,1.336,0.123,-0.792,-0.374,-0.358,0.023,-0.313,-0.446,-0.277,0.095,-0.09,1.158,-0.732,-0.624,1.401,2.722,-0.362,3.267,0.869,-0.109,0.625,0.452,1.14,0.567,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1098,4523,Jordan Bell,125,2,0.585,0.146,-1.509,-1.599,0.975,0.338,0.002,0.214,2.292,1.702,-1.011,0.198,1.173,-0.363,1.676,0.403,-0.26,1.787,0.705,-1.37,-1.507,1.159,0.501,0.285,0.968,2.409,2.075,-1.007,0.917,1.619,0.086,2.361,1.087,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1099,4239,Dwight Powell,518,7,2.022,0.637,-0.748,-1.081,1.261,0.365,-0.696,0.297,0.268,-0.261,-0.693,1.576,0.388,0.093,0.622,0.342,0.031,3.04,1.176,-0.296,-0.435,1.882,0.908,-0.462,1.477,0.662,1.118,-0.198,2.316,0.864,0.901,1.064,1.062,0.682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
